,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue,viewCount,likeCount,dislikeCount,commentCount
38,152183,tt0156841,movie,The Next Best Thing,The Next Best Thing,0,2000.0,108.0,"Comedy,Drama,Romance",40,4,4,25000000,24362772,76338,710,25,27
39,152787,tt0157472,movie,Clockstoppers,Clockstoppers,0,2002.0,94.0,"Action,Adventure,Comedy",40,16,4,26000000,38793283,9979,51,4,15
40,153871,tt0158622,movie,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,0,2000.0,90.0,"Comedy,Family,Romance",40,24,4,83000000,59468275,360813,1126,108,0
41,154461,tt0159273,movie,Behind Enemy Lines,Behind Enemy Lines,0,2001.0,106.0,"Action,Drama,Thriller",40,16,4,40000000,91753202,369336,1413,127,172
42,154543,tt0159365,movie,Cold Mountain,Cold Mountain,0,2003.0,154.0,"Adventure,Drama,History",40,8,4,79000000,173013509,404948,1444,58,68
43,155134,tt0160009,movie,The Art of War,The Art of War,0,2000.0,117.0,"Action,Adventure,Crime",40,8,4,40000000,30199105,152990,451,41,51
44,155246,tt0160127,movie,Charlie's Angels,Charlie's Angels,0,2000.0,98.0,"Action,Adventure,Comedy",40,20,4,92000000,264105545,23077295,279948,55609,28074
45,155297,tt0160184,movie,Eye See You,D-Tox,0,2002.0,96.0,"Crime,Thriller",39,7,4,55000000,6416302,162811,388,18,22
46,155831,tt0160797,movie,Rules of Engagement,Rules of Engagement,0,2000.0,128.0,"Drama,Thriller,War",40,8,4,60000000,71000000,377959,936,81,152
47,156081,tt0161081,movie,What Lies Beneath,What Lies Beneath,0,2000.0,130.0,"Drama,Fantasy,Horror",40,8,4,100000000,155464351,869142,948,65,207
48,156512,tt0161539,movie,Max,Max,0,2000.0,85.0,Crime,40,8,4,31000000,43967255,9159612,46829,2022,1
49,157167,tt0162222,movie,Cast Away,Cast Away,0,2000.0,143.0,"Adventure,Drama,Romance",40,4,4,90000000,429632142,478300,2402,90,112
50,157574,tt0162650,movie,Shaft,Shaft,0,2000.0,99.0,"Action,Crime,Thriller",40,16,4,50000000,119318116,15297542,111194,4430,8724
51,157885,tt0162983,movie,Hanging Up,Hanging Up,0,2000.0,94.0,"Comedy,Drama",40,8,4,40000000,36037909,160129,660,23,22
52,157926,tt0163025,movie,Jurassic Park III,Jurassic Park III,0,2001.0,92.0,"Action,Adventure,Sci-Fi",40,16,4,93000000,368780809,1805278,5968,293,749
53,158467,tt0163596,movie,Dark Water,Dark Water,0,2001.0,92.0,"Crime,Drama,Mystery",37,8,4,30000000,25473093,6299672,12755,564,1386
54,158545,tt0163676,movie,The In Crowd,The In Crowd,0,2000.0,105.0,"Drama,Mystery,Thriller",40,8,4,15000000,5217498,69936,202,10,43
55,158828,tt0163978,movie,The Beach,The Beach,0,2000.0,119.0,"Adventure,Drama,Romance",37,8,4,40000000,144056873,488484,3596,79,221
56,158897,tt0164052,movie,Hollow Man,Hollow Man,0,2000.0,112.0,"Action,Horror,Sci-Fi",40,8,4,95000000,190213455,469013,2284,88,201
57,159011,tt0164184,movie,The Sum of All Fears,The Sum of All Fears,0,2002.0,124.0,"Action,Drama,Thriller",40,12,4,68,193,538023,884,81,92
58,159036,tt0164212,movie,Under Suspicion,Under Suspicion,0,2000.0,110.0,"Crime,Drama,Thriller",40,24,4,25000000,260562,110602,153,22,7
59,159147,tt0164334,movie,Along Came a Spider,Along Came a Spider,0,2001.0,104.0,"Drama,Thriller",40,8,4,60000000,105178561,171663,496,41,49
60,160586,tt0165929,movie,Romeo Must Die,Romeo Must Die,0,2000.0,115.0,"Action,Crime,Thriller",40,12,4,25000000,91036760,1091108,5184,203,512
61,160635,tt0165982,movie,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,0,2003.0,86.0,"Adventure,Animation,Family",40,4,8,60000000,26288320,42880,105,5,0
62,160758,tt0166110,movie,Bones,Bones,0,2001.0,96.0,"Crime,Horror",40,8,4,10000000,7316658,40338,447,19,68
63,160913,tt0166276,movie,Monkeybone,Monkeybone,0,2001.0,93.0,"Animation,Comedy,Fantasy",38,6,4,75000000,5409517,25690,172,22,14
64,161408,tt0166813,movie,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,0,2002.0,83.0,"Adventure,Animation,Drama",39,8,8,80000000,122563539,481410,1571,108,261
65,161750,tt0167190,movie,Hellboy,Hellboy,0,2004.0,122.0,"Action,Fantasy,Horror",40,12,4,66000000,99318987,15323516,157909,12856,18987
66,161813,tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003.0,201.0,"Adventure,Drama,Fantasy",37,16,4,94000000,1118888979,3601297,19176,347,2749
67,161814,tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002.0,179.0,"Adventure,Drama,Fantasy",37,20,4,79000000,926287400,1441095,8118,187,842
68,161996,tt0167456,movie,Thunderbirds,Thunderbirds,0,2004.0,95.0,"Action,Adventure,Comedy",40,20,4,57000000,28283637,14548,119,6,6
69,163106,tt0168629,movie,Dancer in the Dark,Dancer in the Dark,0,2000.0,140.0,"Crime,Drama,Musical",40,4,4,12800000,40031879,1229086,3946,130,444
70,163248,tt0168786,movie,Antwone Fisher,Antwone Fisher,0,2002.0,120.0,"Biography,Drama",40,4,4,12500000,23367586,475228,678,20,134
71,164365,tt0170016,movie,How the Grinch Stole Christmas,How the Grinch Stole Christmas,0,2000.0,104.0,"Comedy,Family,Fantasy",38,12,4,123000000,345141403,2704980,None,None,240
72,165658,tt0171356,movie,Gun Shy,Gun Shy,0,2000.0,101.0,"Comedy,Crime,Romance",34,4,4,10000000,1631839,725169,995,276,66
73,165661,tt0171359,movie,Hamlet,Hamlet,0,2000.0,112.0,"Drama,Romance,Thriller",40,8,4,2000000,22279200,295536,1376,42,76
74,165732,tt0171433,movie,Keeping the Faith,Keeping the Faith,0,2000.0,128.0,"Comedy,Drama,Romance",40,4,4,30000000,37036004,302836,351,21,63
