,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue
3093345,tt1854564,movie,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,0,2013.0,106.0,"Adventure,Family,Fantasy",40,8,4,90000000,174578751
3093949,tt1855199,movie,End of Watch,End of Watch,0,2012.0,109.0,"Action,Crime,Drama",40,4,4,7000000,48126384
3094075,tt1855325,movie,Resident Evil: Retribution,Resident Evil: Retribution,0,2012.0,95.0,"Action,Horror,Sci-Fi",39,4,4,65000000,240159255
3096508,tt1857842,movie,Inhuman Resources,Redd Inc.,0,2012.0,93.0,"Horror,Thriller",40,8,4,500000,1000000
3098248,tt1859650,movie,To Rome With Love,To Rome with Love,0,2012.0,112.0,"Comedy,Music,Romance",38,4,4,17000000,73244881
3098856,tt1860276,movie,Love Story,Love Story,0,2011.0,96.0,"Drama,Romance",40,4,4,2200000,136400000
3098932,tt1860353,movie,Turbo,Turbo,0,2013.0,96.0,"Adventure,Animation,Comedy",40,12,4,135000000,282570682
3100580,tt1862079,movie,Safety Not Guaranteed,Safety Not Guaranteed,0,2012.0,86.0,"Comedy,Drama,Romance",39,4,4,750000,4007792
3103813,tt1865385,movie,Hall Pass,Hall Pass,0,2006.0,93.0,Drama,26,3,4,36000000,83160734
3104624,tt1866249,movie,The Sessions,The Sessions,0,2012.0,95.0,"Biography,Comedy,Drama",38,6,4,1000000,9138338
3105432,tt1867093,movie,The Samaritan,The Samaritan,0,2012.0,90.0,"Action,Crime,Drama",40,8,4,12000000,2521
3106367,tt1868050,movie,Mama,Mama,0,2010.0,71.0,Drama,13,2,2,15000000,146497771
3107520,tt1869233,movie,Three Kings,Three Kings,0,2011.0,123.0,Comedy,40,4,4,75000000,108000000
3107993,tt1869716,movie,The East,The East,0,2013.0,116.0,"Adventure,Drama,Thriller",39,7,3,6500000,2401510
3110376,tt1872181,movie,The Amazing Spider-Man 2,The Amazing Spider-Man 2,0,2014.0,142.0,"Action,Adventure,Sci-Fi",40,24,4,200000000,705717432
3110389,tt1872194,movie,The Judge,The Judge,0,2014.0,141.0,"Crime,Drama",40,12,4,50000000,83719388
3114493,tt1876409,movie,Oblivion,Oblivion,0,2011.0,116.0,Thriller,36,4,4,120000000,286168572
3114533,tt1876451,movie,Sparkle,Sparkle,0,2012.0,116.0,"Drama,Music",40,12,4,14000000,24637469
3115883,tt1877832,movie,X-Men: Days of Future Past,X-Men: Days of Future Past,0,2014.0,132.0,"Action,Adventure,Sci-Fi",40,20,4,250000000,746000000
3116920,tt1878917,movie,The Pledge,The Pledge,0,2011.0,118.0,"Drama,Family",34,4,4,35000000,29400000
3118939,tt1881002,movie,Maggie,Maggie,0,2015.0,95.0,"Drama,Horror",38,4,4,4000000,187112
3123024,tt1885300,movie,Best Man Down,Best Man Down,0,2012.0,89.0,"Comedy,Drama",37,4,4,1500000,1938
3130583,tt1893211,movie,Choke,Choke,0,2011.0,122.0,"Action,Drama,Romance",31,4,4,3000000,3830137
3132851,tt1895587,movie,Spotlight,Spotlight,0,2015.0,129.0,"Biography,Crime,Drama",40,8,4,20000000,88346473
3138183,tt1901018,movie,The Visit,The Visit,0,2010.0,50.0,Thriller,12,2,2,5000000,98450062
3141969,tt1904995,movie,Paranoia,Paranoia,0,2012.0,87.0,Thriller,32,4,4,35000000,13785015
3141970,tt1904996,movie,Parker,Parker,0,2013.0,118.0,"Action,Crime,Thriller",40,8,4,35000000,46216641
3144551,tt1907668,movie,Flight,Flight,0,2012.0,138.0,"Drama,Thriller",40,4,4,31000000,161772375
3147391,tt1910670,movie,Weekend,Weekend,0,2011.0,80.0,"Comedy,Drama",23,4,4,8000,469947
3148309,tt1911644,movie,The Call,The Call,0,2013.0,96.0,"Crime,Drama,Horror",38,10,4,13000000,68572378
3148323,tt1911658,movie,Penguins of Madagascar,Penguins of Madagascar,0,2014.0,92.0,"Adventure,Animation,Comedy",40,36,8,132000000,373552094
3152110,tt1915581,movie,Magic Mike,Magic Mike,0,2012.0,110.0,"Comedy,Drama",36,4,4,7000000,167221571
3157207,tt1920849,movie,Bachelorette,Bachelorette,0,2012.0,87.0,"Comedy,Romance",40,4,4,3000000,11947954
3157270,tt1920913,movie,Elektra,Elektra,0,2010.0,131.0,"Drama,Thriller",37,5,4,43000000,56681566
3157421,tt1921064,movie,Pompeii,Pompeii,0,2014.0,105.0,"Action,Adventure,Drama",40,12,4,130000000,117831631
