,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue
341985,tt0356470,movie,A Cinderella Story,A Cinderella Story,0,2004.0,95.0,"Comedy,Family,Romance",40,4,4,19000000,70067909
342090,tt0356577,movie,Elysium,Elysium,0,2003.0,85.0,"Action,Animation,Fantasy",29,6,2,115000000,286140700
342126,tt0356614,movie,Foolproof,Foolproof,0,2003.0,94.0,"Action,Comedy,Crime",39,4,4,8256269,460978
342130,tt0356618,movie,The Forgotten,The Forgotten,0,2004.0,91.0,"Drama,Mystery,Sci-Fi",35,4,4,42000000,117575636
342146,tt0356634,movie,Garfield,Garfield,0,2004.0,80.0,"Animation,Comedy,Family",40,12,4,50000000,200804534
342416,tt0356910,movie,Mr. & Mrs. Smith,Mr. & Mrs. Smith,0,2005.0,120.0,"Action,Comedy,Crime",40,4,4,110000000,478207520
342513,tt0357009,movie,Phantom,Phantom,0,2002.0,120.0,"Action,Drama",35,5,4,10000000,1034589
342612,tt0357110,movie,The Ballad of Jack and Rose,The Ballad of Jack and Rose,0,2005.0,112.0,Drama,40,4,4,1500000,712294
342629,tt0357127,movie,Salt,Salt,0,2003.0,86.0,Drama,21,4,4,110000000,293329073
342775,tt0357277,movie,Elektra,Elektra,0,2005.0,97.0,"Action,Adventure,Crime",40,20,4,43000000,56681566
342907,tt0357413,movie,Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,0,2004.0,94.0,Comedy,40,8,4,26000000,90574188
343001,tt0357507,movie,Boogeyman,Boogeyman,0,2005.0,89.0,"Drama,Horror,Mystery",40,12,4,20000000,67192859
343566,tt0358082,movie,Robots,Robots,0,2005.0,91.0,"Adventure,Animation,Comedy",40,20,8,75000000,260696994
343752,tt0358273,movie,Walk the Line,Walk the Line,0,2005.0,136.0,"Biography,Drama,Music",40,16,4,28000000,186438883
343825,tt0358349,movie,Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London,0,2004.0,100.0,"Action,Adventure,Comedy",40,16,4,26000000,28818995
344477,tt0359013,movie,Blade: Trinity,Blade: Trinity,0,2004.0,113.0,"Action,Adventure,Fantasy",40,12,4,65000000,128905366
344487,tt0359024,movie,The Box,The Box,0,2003.0,99.0,"Crime,Drama,Thriller",40,4,4,30000000,33333531
344650,tt0359190,movie,The Drop,The Drop,0,2000.0,87.0,Crime,29,8,4,12600000,18658381
344879,tt0359423,movie,A Home at the End of the World,A Home at the End of the World,0,2004.0,97.0,"Drama,Romance",40,4,4,6500000,1548955
344972,tt0359517,movie,Johnson Family Vacation,Johnson Family Vacation,0,2004.0,97.0,Comedy,39,8,4,12000000,31179516
345398,tt0359950,movie,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,0,2013.0,114.0,"Comedy,Drama,Fantasy",40,8,4,90000000,188133322
345457,tt0360009,movie,Spartan,Spartan,0,2004.0,106.0,"Action,Crime,Drama",38,4,4,19250000,8112712
345585,tt0360139,movie,Chasing Liberty,Chasing Liberty,0,2004.0,101.0,"Comedy,Romance",40,8,4,23000000,12
345646,tt0360201,movie,Wimbledon,Wimbledon,0,2004.0,98.0,"Comedy,Romance,Sport",40,12,4,31000000,41512007
345764,tt0360323,movie,10th & Wolf,10th & Wolf,0,2006.0,107.0,"Crime,Drama,Thriller",38,8,4,8000000,143451
345922,tt0360486,movie,Constantine,Constantine,0,2005.0,121.0,"Action,Fantasy,Horror",40,16,4,100000000,230427240
346040,tt0360607,movie,Going the Distance,Going the Distance,0,2000.0,96.0,"Drama,Family",13,5,4,32000000,42045846
346148,tt0360717,movie,King Kong,King Kong,0,2005.0,187.0,"Action,Adventure,Drama",40,20,4,231000000,602614445
346462,tt0361038,movie,Taken,Taken,0,2002.0,72.0,"Drama,Horror,Thriller",28,4,3,25000000,226830568
346509,tt0361089,movie,Valiant,Valiant,0,2005.0,76.0,"Adventure,Animation,Comedy",37,13,4,35000000,19478106
346719,tt0361309,movie,We Don't Live Here Anymore,We Don't Live Here Anymore,0,2004.0,101.0,"Drama,Romance",37,8,1,3000000,2037545
346871,tt0361467,movie,Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,0,2004.0,89.0,"Comedy,Family,Music",37,5,4,15000000,29331068
347090,tt0361696,movie,Raise Your Voice,Raise Your Voice,0,2004.0,107.0,"Family,Music,Musical",36,5,4,15000000,14867514
347140,tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009.0,153.0,"Adventure,Drama,War",36,4,4,70000000,319131050
347230,tt0361841,movie,Little Black Book,Little Black Book,0,2004.0,107.0,"Comedy,Drama,Romance",40,8,4,35000000,22034832
347250,tt0361862,movie,The Machinist,The Machinist,0,2004.0,101.0,"Drama,Thriller",40,4,4,5000000,8203235
347313,tt0361925,movie,Welcome to Mooseport,Welcome to Mooseport,0,2004.0,110.0,"Comedy,Romance",40,8,4,30000000,14000000
347502,tt0362120,movie,Scary Movie 4,Scary Movie 4,0,2006.0,83.0,"Comedy,Horror",40,36,4,45000000,178262620
347518,tt0362138,movie,Sex Drive,Sex Drive,0,2003.0,88.0,"Adventure,Comedy",37,0,4,19000000,18755936
347605,tt0362227,movie,The Terminal,The Terminal,0,2004.0,128.0,"Comedy,Drama,Romance",40,12,4,60000000,219417255
347647,tt0362270,movie,The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,0,2004.0,119.0,"Action,Adventure,Comedy",40,8,4,50000000,34808403
347848,tt0362478,movie,The Box,The Box,0,2009.0,115.0,"Drama,Fantasy,Mystery",40,8,4,30000000,33333531
347956,tt0362590,movie,Employee of the Month,Employee of the Month,0,2004.0,97.0,"Comedy,Drama",40,8,4,12000000,38368909
348056,tt0362693,movie,The Grey,The Grey,0,2004.0,86.0,Drama,32,8,4,25000000,77278331
348881,tt0363547,movie,Dawn of the Dead,Dawn of the Dead,0,2004.0,101.0,"Action,Horror",40,8,4,28650000,157356381
348921,tt0363589,movie,Elephant,Elephant,0,2003.0,81.0,"Crime,Drama,Thriller",32,4,4,3000000,10012022
349097,tt0363771,movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,2005.0,143.0,"Adventure,Family,Fantasy",40,20,4,180000000,748806957
349307,tt0363988,movie,Secret Window,Secret Window,0,2004.0,96.0,"Drama,Mystery,Thriller",40,8,4,40000000,92913171
349361,tt0364045,movie,Taking Lives,Taking Lives,0,2004.0,103.0,"Crime,Mystery,Thriller",36,6,4,45000000,65470529
350058,tt0364751,movie,Without a Paddle,Without a Paddle,0,2004.0,95.0,"Adventure,Comedy,Mystery",37,20,4,19000000,69631118
350266,tt0364970,movie,Babylon A.D.,Babylon A.D.,0,2008.0,90.0,"Action,Adventure,Sci-Fi",40,16,4,70000000,72108608
350413,tt0365125,movie,A Dirty Shame,A Dirty Shame,0,2004.0,89.0,Comedy,40,4,4,15000000,1914166
350751,tt0365485,movie,The Matador,The Matador,0,2005.0,96.0,"Comedy,Crime,Thriller",40,4,4,10000000,17297244
350994,tt0365737,movie,Syriana,Syriana,0,2005.0,128.0,"Drama,Thriller",40,8,4,50000000,94000000
351004,tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004.0,99.0,"Comedy,Horror",38,8,4,4000000,30039392
351081,tt0365830,movie,Tenacious D in the Pick of Destiny,Tenacious D in The Pick of Destiny,0,2006.0,93.0,"Adventure,Comedy,Music",40,12,4,22000000,13405595
351151,tt0365907,movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014.0,114.0,"Action,Crime,Drama",39,8,4,28000000,53181600
351172,tt0365929,movie,Whiteout,Whiteout,0,2009.0,101.0,"Action,Crime,Horror",40,22,4,40000000,12206028
351408,tt0366174,movie,Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,0,2004.0,97.0,"Action,Adventure,Horror",40,28,4,20000000,70992898
351771,tt0366548,movie,Happy Feet,Happy Feet,0,2006.0,108.0,"Adventure,Animation,Comedy",40,16,12,100000000,384335608
351774,tt0366551,movie,Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,0,2004.0,88.0,"Adventure,Comedy",40,8,4,9000000,23936908
351844,tt0366627,movie,The Jacket,The Jacket,0,2005.0,103.0,"Drama,Fantasy,Mystery",39,11,4,29000000,21126225
352225,tt0367027,movie,Shortbus,Shortbus,0,2006.0,101.0,"Comedy,Drama",40,4,4,2000000,5179037
352280,tt0367085,movie,Soul Plane,Soul Plane,0,2004.0,86.0,Comedy,40,8,4,16000000,14822346
352284,tt0367089,movie,The Squid and the Whale,The Squid and the Whale,0,2005.0,81.0,"Comedy,Drama",40,4,4,1500000,11098131
352659,tt0367479,movie,After the Sunset,After the Sunset,0,2004.0,97.0,"Action,Comedy,Crime",40,8,4,60000000,61347797
352740,tt0367561,movie,Boy,Boy,0,2003.0,75.0,"Comedy,Drama",13,4,4,3,43
352771,tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005.0,115.0,"Adventure,Comedy,Family",40,8,4,150000000,474968763
352825,tt0367652,movie,Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,0,2005.0,83.0,Comedy,37,16,1,22000000,22400154
353041,tt0367882,movie,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,0,2008.0,122.0,"Action,Adventure",40,16,4,185000000,786636033
353117,tt0367959,movie,Hannibal Rising,Hannibal Rising,0,2007.0,121.0,"Adventure,Crime,Drama",37,4,4,50000000,82169884
353161,tt0368008,movie,The Manchurian Candidate,The Manchurian Candidate,0,2004.0,129.0,"Drama,Mystery,Sci-Fi",40,16,4,82200000,96105964
353585,tt0368447,movie,The Village,The Village,0,2004.0,108.0,"Drama,Mystery,Thriller",39,4,4,60000000,256697520
353697,tt0368563,movie,Possession,Possession,0,2009.0,85.0,"Drama,Horror,Mystery",37,13,8,25000000,10113733
353712,tt0368578,movie,Are We There Yet?,Are We There Yet?,0,2005.0,95.0,"Adventure,Comedy,Family",40,16,4,32000000,97918663
353842,tt0368709,movie,Elizabethtown,Elizabethtown,0,2005.0,123.0,"Comedy,Drama,Romance",40,4,4,57000000,52034889
354017,tt0368891,movie,National Treasure,National Treasure,0,2004.0,131.0,"Action,Adventure,Mystery",40,20,4,100000000,347451894
354033,tt0368908,movie,One Day,One Day,0,2003.0,48.0,Drama,23,22,8,15000000,59389433
354056,tt0368933,movie,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,0,2004.0,113.0,"Comedy,Family,Romance",40,12,4,40000000,95149435
354155,tt0369039,movie,The Unborn,The Unborn,0,2003.0,108.0,"Horror,Mystery,Thriller",32,4,4,16000000,76514050
354338,tt0369226,movie,Alone in the Dark,Alone in the Dark,0,2005.0,96.0,"Action,Horror,Sci-Fi",40,12,4,20000000,10442808
354449,tt0369339,movie,Collateral,Collateral,0,2004.0,120.0,"Crime,Drama,Thriller",39,4,4,65000000,217764291
354540,tt0369436,movie,Four Christmases,Four Christmases,0,2008.0,88.0,"Comedy,Drama,Romance",40,16,4,80000000,163733697
354545,tt0369441,movie,Fun with Dick and Jane,Fun with Dick and Jane,0,2005.0,90.0,"Comedy,Crime",39,23,4,100000000,202026112
354710,tt0369610,movie,Jurassic World,Jurassic World,0,2015.0,124.0,"Action,Adventure,Sci-Fi",39,20,4,150000000,1513528810
354828,tt0369735,movie,Monster-in-Law,Monster-in-Law,0,2005.0,101.0,"Comedy,Romance",37,1,4,43000000,154749918
355107,tt0370032,movie,Ultraviolet,Ultraviolet,0,2006.0,88.0,"Action,Sci-Fi",38,4,4,30000000,31070211
355328,tt0370263,movie,Alien vs. Predator,AVP: Alien vs. Predator,0,2004.0,101.0,"Action,Adventure,Horror",40,20,4,70000000,171183863
356152,tt0371101,movie,Promised Land,Promised Land,0,2004.0,99.0,Drama,37,13,4,15000000,8138788
356292,tt0371246,movie,Spanglish,Spanglish,0,2004.0,131.0,"Comedy,Drama,Romance",40,4,4,80000000,55041367
356303,tt0371257,movie,Stay,Stay,0,2005.0,99.0,"Drama,Mystery,Thriller",40,4,4,50000000,8342132
356642,tt0371606,movie,Chicken Little,Chicken Little,0,2005.0,81.0,"Adventure,Animation,Comedy",40,20,4,150000000,314432665
356752,tt0371724,movie,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,0,2005.0,109.0,"Adventure,Comedy,Sci-Fi",40,8,4,50000000,104478416
356774,tt0371746,movie,Iron Man,Iron Man,0,2008.0,126.0,"Action,Adventure,Sci-Fi",40,32,4,140000000,585174222
357193,tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,2004.0,108.0,"Action,Mystery,Thriller",40,8,4,75000000,288500217
357247,tt0372237,movie,Guess Who,Guess Who,0,2005.0,105.0,"Comedy,Romance",40,16,4,35000000,68915888
357311,tt0372303,movie,The Good Shepherd,The Good Shepherd,0,2004.0,91.0,"Drama,Thriller",38,4,2,85000000,59908565
357534,tt0372532,movie,The Wedding Date,The Wedding Date,0,2005.0,90.0,"Comedy,Romance",37,5,4,15000000,47175038
357540,tt0372538,movie,Spy,Spy,0,2011.0,110.0,"Action,Crime,Drama",35,9,4,65000000,235666219
357586,tt0372588,movie,Team America: World Police,Team America: World Police,0,2004.0,98.0,"Action,Comedy",40,12,4,32000000,50907422
357771,tt0372784,movie,Batman Begins,Batman Begins,0,2005.0,140.0,"Action,Adventure",40,12,4,150000000,374218673
358028,tt0373051,movie,Journey to the Center of the Earth,Journey to the Center of the Earth,0,2008.0,93.0,"Action,Adventure,Family",40,16,4,45000000,101702060
358433,tt0373469,movie,Kiss Kiss Bang Bang,Kiss Kiss Bang Bang,0,2005.0,103.0,"Action,Comedy,Crime",40,8,4,15000000,15785148
358833,tt0373883,movie,Halloween,Halloween,0,2007.0,109.0,Horror,40,12,4,15300000,150253908
358839,tt0373889,movie,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,0,2007.0,138.0,"Action,Adventure,Family",40,8,4,150000000,938212738
358874,tt0373926,movie,The Interpreter,The Interpreter,0,2005.0,128.0,"Crime,Mystery,Thriller",40,20,4,80000000,162944923
359044,tt0374102,movie,Open Water,Open Water,0,2003.0,79.0,"Adventure,Drama,Horror",25,4,4,130000,54667954
359460,tt0374536,movie,Bewitched,Bewitched,0,2005.0,102.0,"Comedy,Fantasy,Romance",40,12,4,85000000,131426169
359485,tt0374563,movie,Captivity,Captivity,0,2007.0,96.0,"Crime,Drama,Horror",35,5,4,17000000,2626800
359505,tt0374584,movie,Control,Control,0,2004.0,104.0,"Action,Crime,Thriller",39,8,4,6800000,8159508
359814,tt0374900,movie,Napoleon Dynamite,Napoleon Dynamite,0,2004.0,96.0,Comedy,40,8,4,400000,46118097
359970,tt0375063,movie,Sideways,Sideways,0,2004.0,127.0,"Comedy,Drama,Romance",39,11,4,16000000,109502303
360078,tt0375173,movie,Alfie,Alfie,0,2004.0,103.0,"Comedy,Drama,Romance",40,12,4,60000000,13395939
360114,tt0375210,movie,White Noise,White Noise,0,2005.0,101.0,"Drama,Horror,Mystery",40,4,4,10000000,91196419
360464,tt0375568,movie,Astro Boy,Astro Boy,0,2009.0,94.0,"Action,Animation,Comedy",40,12,4,65000000,44091067
360571,tt0375679,movie,Crash,Crash,0,2004.0,112.0,"Crime,Drama,Thriller",40,8,4,16500000,98410061
360797,tt0375912,movie,Layer Cake,Layer Cake,0,2004.0,105.0,"Action,Crime,Drama",39,3,4,6500000,11850214
360986,tt0376105,movie,Racing Stripes,Racing Stripes,0,2005.0,102.0,"Adventure,Comedy,Drama",37,13,4,30000000,93772522
360989,tt0376108,movie,Rebound,Rebound,0,2005.0,86.0,"Comedy,Family,Sport",40,20,4,45000000,16809014
361017,tt0376136,movie,The Rum Diary,The Rum Diary,0,2011.0,119.0,"Comedy,Drama",40,8,4,45000000,24000000
361411,tt0376541,movie,Closer,Closer,0,2004.0,104.0,"Drama,Romance",40,4,4,27000000,115505027
361475,tt0376606,movie,Frozen,Frozen,0,2005.0,90.0,Thriller,35,6,4,150000000,1277284869
361854,tt0376994,movie,X-Men: The Last Stand,X-Men: The Last Stand,0,2006.0,104.0,"Action,Adventure,Sci-Fi",40,8,4,210000000,234360014
361921,tt0377062,movie,Flight of the Phoenix,Flight of the Phoenix,0,2004.0,113.0,"Action,Adventure,Drama",40,12,4,45000000,21009180
361946,tt0377091,movie,Mean Creek,Mean Creek,0,2004.0,90.0,"Crime,Drama",40,4,4,500000,603943
361947,tt0377092,movie,Mean Girls,Mean Girls,0,2004.0,97.0,Comedy,39,8,4,17000000,129042871
361960,tt0377107,movie,Proof,Proof,0,2005.0,100.0,"Drama,Mystery",40,8,4,20000000,8059999
362310,tt0377471,movie,Be Cool,Be Cool,0,2005.0,118.0,"Comedy,Crime,Drama",40,8,4,53000000,95226116
362650,tt0377818,movie,The Dukes of Hazzard,The Dukes of Hazzard,0,2005.0,104.0,Comedy,36,8,4,50000000,110803676
362809,tt0377981,movie,Gnomeo & Juliet,Gnomeo & Juliet,0,2011.0,84.0,"Adventure,Animation,Comedy",40,44,4,36000000,189712432
362934,tt0378109,movie,Into the Blue,Into the Blue,0,2005.0,110.0,"Action,Adventure,Crime",39,4,4,50000000,44434439
363018,tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004.0,137.0,"Action,Crime,Thriller",40,8,4,30000000,152159461
364509,tt0379725,movie,Capote,Capote,0,2005.0,114.0,"Biography,Crime,Drama",40,8,4,7000000,49084830
364568,tt0379786,movie,Serenity,Serenity,0,2005.0,119.0,"Action,Adventure,Sci-Fi",40,4,4,39000000,38869464
365159,tt0380395,movie,Grindhouse,Grindhouse,0,2003.0,106.0,Horror,15,3,3,67000000,25037897
365271,tt0380510,movie,The Lovely Bones,The Lovely Bones,0,2009.0,135.0,"Drama,Fantasy,Thriller",37,13,4,65000000,93525586
365357,tt0380599,movie,Oliver Twist,Oliver Twist,0,2005.0,130.0,"Crime,Drama",40,8,4,50000000,42093706
365807,tt0381061,movie,Casino Royale,Casino Royale,0,2006.0,144.0,"Action,Adventure,Thriller",40,16,4,162000000,640790678
365892,tt0381147,movie,Dope,Dope,0,2004.0,90.0,Drama,34,4,4,700000,17986781
366179,tt0381442,movie,The Secret Adventures of Gustave Klopp,Narco,0,2004.0,105.0,Comedy,40,12,8,823258,823258
366408,tt0381681,movie,Before Sunset,Before Sunset,0,2004.0,80.0,"Drama,Romance",40,16,4,2700000,15992615
366434,tt0381707,movie,White Chicks,White Chicks,0,2004.0,109.0,"Comedy,Crime",40,24,4,37000000,113086475
366573,tt0381849,movie,3:10 to Yuma,3:10 to Yuma,0,2007.0,122.0,"Action,Crime,Drama",40,16,4,55000000,70016220
366688,tt0381971,movie,Curious George,Curious George,0,2006.0,87.0,"Adventure,Animation,Comedy",40,16,4,50000000,69834815
366791,tt0382077,movie,Hide and Seek,Hide and Seek,0,2005.0,101.0,"Drama,Horror,Mystery",40,4,4,25000000,122644820
367330,tt0382625,movie,The Da Vinci Code,The Da Vinci Code,0,2006.0,149.0,"Mystery,Thriller",40,8,4,125000000,758239851
367333,tt0382628,movie,Dark Water,Dark Water,0,2005.0,105.0,"Drama,Horror,Mystery",40,16,4,30000000,25473093
367626,tt0382932,movie,Ratatouille,Ratatouille,0,2007.0,111.0,"Adventure,Animation,Comedy",40,16,8,150000000,623722818
367686,tt0382992,movie,Stealth,Stealth,0,2005.0,121.0,"Action,Adventure,Sci-Fi",40,4,4,135000000,76932943
367703,tt0383010,movie,The Three Stooges,The Three Stooges,0,2012.0,92.0,"Comedy,Family",40,12,8,30000000,54819301
367749,tt0383060,movie,Zoom,Zoom,0,2006.0,93.0,"Action,Adventure,Comedy",40,12,4,35000000,12506188
367908,tt0383222,movie,BloodRayne,BloodRayne,0,2005.0,95.0,"Action,Adventure,Fantasy",39,4,4,25000000,2405420
368250,tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006.0,151.0,"Action,Adventure,Fantasy",40,16,4,200000000,1065659812
368781,tt0384293,movie,Love,Love,0,2003.0,104.0,Drama,32,2,4,3500000,695269
368942,tt0384533,movie,She Hate Me,She Hate Me,0,2004.0,138.0,"Comedy,Drama",40,8,4,8000000,365134
368944,tt0384537,movie,Silent Hill,Silent Hill,0,2006.0,125.0,Horror,40,4,4,50000000,97607453
369016,tt0384642,movie,Kicking & Screaming,Kicking & Screaming,0,2005.0,95.0,"Comedy,Family,Romance",40,8,4,45000000,56070433
369041,tt0384680,movie,The Weather Man,The Weather Man,0,2005.0,102.0,"Comedy,Drama",40,4,4,20000000,12482775
369141,tt0384793,movie,Accepted,Accepted,0,2006.0,93.0,Comedy,40,12,4,23000000,38505009
369154,tt0384806,movie,The Amityville Horror,The Amityville Horror,0,2005.0,90.0,Horror,40,20,4,19000000,194479131
370067,tt0385752,movie,The Golden Compass,The Golden Compass,0,2007.0,113.0,"Adventure,Family,Fantasy",39,8,4,180000000,372234864
370190,tt0385880,movie,Monster House,Monster House,0,2006.0,91.0,"Animation,Comedy,Family",39,12,4,75000000,140175006
370293,tt0385988,movie,Red Riding Hood,Red Riding Hood,0,2006.0,82.0,"Adventure,Family,Musical",40,12,4,42000000,89162162
370413,tt0386117,movie,Where the Wild Things Are,Where the Wild Things Are,0,2009.0,101.0,"Adventure,Drama,Family",40,12,4,100000000,100086793
370436,tt0386140,movie,The Legend of Zorro,The Legend of Zorro,0,2005.0,129.0,"Action,Adventure,Romance",40,20,4,75000000,142400065
370822,tt0386534,movie,Inside Out,Inside Out,0,2005.0,90.0,"Drama,Mystery,Thriller",39,3,3,175000000,853708609
370875,tt0386588,movie,Hitch,Hitch,0,2005.0,118.0,"Comedy,Romance",40,4,4,70000000,368100420
371333,tt0387059,movie,Bee Season,Bee Season,0,2005.0,104.0,"Drama,Family",40,8,8,14000000,6856989
371403,tt0387131,movie,The Constant Gardener,The Constant Gardener,0,2005.0,129.0,"Drama,Mystery,Romance",40,8,4,25000000,82466670
371828,tt0387564,movie,Saw,Saw,0,2004.0,103.0,"Horror,Mystery",40,8,4,1200000,103911669
371839,tt0387575,movie,Seed of Chucky,Seed of Chucky,0,2004.0,87.0,"Comedy,Fantasy,Horror",40,4,4,12000000,24829644
372066,tt0387808,movie,Idiocracy,Idiocracy,0,2006.0,84.0,"Adventure,Comedy,Sci-Fi",40,8,4,30000000,495303
372133,tt0387877,movie,The Black Dahlia,The Black Dahlia,0,2006.0,121.0,"Crime,Drama,Mystery",40,8,4,50000000,49111202
372391,tt0388139,movie,It's All Gone Pete Tong,It's All Gone Pete Tong,0,2004.0,90.0,"Biography,Comedy,Drama",39,4,4,2000000,120620
372444,tt0388194,movie,Labyrinth,Labyrinth,0,2003.0,145.0,Drama,33,0,2,25000000,12729917
372533,tt0388285,movie,Going the Distance,Going the Distance,0,2004.0,93.0,"Comedy,Romance",37,5,4,32000000,42045846
372611,tt0388365,movie,Red Riding Hood,Red Riding Hood,0,2003.0,92.0,"Drama,Horror,Thriller",31,5,4,42000000,89162162
372726,tt0388482,movie,Transporter 2,Transporter 2,0,2005.0,87.0,"Action,Thriller",40,8,4,32000000,85167639
372744,tt0388500,movie,Beauty Shop,Beauty Shop,0,2005.0,105.0,Comedy,40,12,4,25000000,36351350
373035,tt0388795,movie,Brokeback Mountain,Brokeback Mountain,0,2005.0,134.0,"Drama,Romance",40,12,4,14000000,178043761
373215,tt0388980,movie,The Greatest Game Ever Played,The Greatest Game Ever Played,0,2005.0,120.0,"Biography,Drama,Sport",40,4,4,25000000,15431177
373939,tt0389722,movie,30 Days of Night,30 Days of Night,0,2007.0,113.0,"Action,Horror,Thriller",40,16,4,30000000,75505973
374006,tt0389790,movie,Bee Movie,Bee Movie,0,2007.0,91.0,"Adventure,Animation,Comedy",40,24,8,150000000,287594577
374075,tt0389860,movie,Click,Click,0,2006.0,107.0,"Comedy,Drama,Fantasy",40,8,4,82500000,237681299
374235,tt0390022,movie,Friday Night Lights,Friday Night Lights,0,2004.0,118.0,"Action,Drama,Sport",40,12,4,30000000,61255921
374588,tt0390384,movie,Primer,Primer,0,2004.0,77.0,"Drama,Sci-Fi,Thriller",13,4,4,7000,424760
375386,tt0391198,movie,The Grudge,The Grudge,0,2004.0,91.0,"Horror,Mystery,Thriller",40,8,4,10000000,183474602
375489,tt0391304,movie,A Lot Like Love,A Lot Like Love,0,2005.0,107.0,"Comedy,Drama,Romance",39,4,4,30000000,42886719
376618,tt0392465,movie,Mozart and the Whale,Mozart and the Whale,0,2005.0,94.0,"Comedy,Drama,Romance",40,4,4,12000000,84967
377242,tt0393109,movie,Brick,Brick,0,2005.0,110.0,"Action,Crime,Drama",40,4,4,475000,3919254
377293,tt0393162,movie,Coach Carter,Coach Carter,0,2005.0,136.0,"Biography,Drama,Sport",40,8,4,30000000,76669806
377855,tt0393735,movie,The Shaggy Dog,The Shaggy Dog,0,2006.0,98.0,"Comedy,Family,Fantasy",40,32,4,50000000,61112916
377874,tt0393754,movie,Shelter,Shelter,0,2003.0,80.0,Drama,30,4,4,22000000,851517
379143,tt0395119,movie,Alatriste,Alatriste,0,2006.0,145.0,"Adventure,Drama,History",37,9,4,24000000,23321954
379192,tt0395169,movie,Hotel Rwanda,Hotel Rwanda,0,2004.0,121.0,"Biography,Drama,History",37,8,4,17500000,38000000
379274,tt0395251,movie,The Producers,The Producers,0,2005.0,134.0,"Comedy,Crime,Musical",40,8,4,45947000,38058335
379514,tt0395495,movie,Catch and Release,Catch and Release,0,2006.0,124.0,"Comedy,Drama,Romance",40,4,4,25000000,16158487
379714,tt0395699,movie,The Pacifier,The Pacifier,0,2005.0,95.0,"Action,Comedy,Drama",40,8,4,56000000,113006880
379978,tt0395972,movie,North Country,North Country,0,2005.0,126.0,Drama,37,9,4,35000000,25224242
380172,tt0396171,movie,Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,0,2006.0,147.0,"Crime,Drama",40,16,4,50000000,132180323
380270,tt0396269,movie,Wedding Crashers,Wedding Crashers,0,2005.0,119.0,"Comedy,Romance",40,8,4,40000000,285176741
380550,tt0396555,movie,Meet the Robinsons,Meet the Robinsons,0,2007.0,95.0,"Adventure,Animation,Comedy",40,36,4,150000000,169332978
380645,tt0396652,movie,Ice Princess,Ice Princess,0,2005.0,98.0,"Comedy,Drama,Family",40,8,4,25000000,27645491
380698,tt0396707,movie,The Secret of Moonacre,The Secret of Moonacre,0,2008.0,103.0,"Adventure,Family,Fantasy",39,12,4,12000000,7070330
380743,tt0396752,movie,Nanny McPhee,Nanny McPhee,0,2005.0,97.0,"Comedy,Family,Fantasy",40,8,4,25000000,122489822
380806,tt0396817,movie,Pretty Woman,Pretty Woman,0,2003.0,111.0,"Comedy,Drama",40,4,4,14000000,463000000
380877,tt0396890,movie,Tamara,Tamara,0,2004.0,75.0,Drama,38,4,4,4750000,206871
381047,tt0397065,movie,House of Wax,House of Wax,0,2005.0,113.0,"Horror,Thriller",40,12,4,40000000,68766121
381060,tt0397078,movie,Just My Luck,Just My Luck,0,2006.0,103.0,"Comedy,Fantasy,Romance",40,20,4,28000000,38159905
381080,tt0397101,movie,The Skeleton Key,The Skeleton Key,0,2005.0,104.0,"Drama,Horror,Mystery",40,4,4,43000000,91974818
381286,tt0397313,movie,Eight Below,Eight Below,0,2006.0,120.0,"Adventure,Drama,Family",40,20,4,40000000,120455994
381503,tt0397535,movie,Memoirs of a Geisha,Memoirs of a Geisha,0,2005.0,145.0,"Drama,Romance",38,6,4,85000000,162242962
381855,tt0397892,movie,Bolt,Bolt,0,2008.0,96.0,"Adventure,Animation,Comedy",40,8,8,150000000,309979994
